                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.98784,                0.73211,                 1.1127,                0.92905,                0.84484,                0.92763,                0.60051,                  1.259,                0.77366,                 1.3584,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.9685,                0.70773,                 1.1099,                 0.9573,                0.82645,                0.92376,                0.60826,                 1.2156,                 0.7773,                  1.306,              0.0006734,              0.0006734,              0.0006734
                     69,                0.95902,                0.67189,                 1.0975,                0.97662,                0.83871,                0.91975,                0.60747,                 1.2457,                0.82898,                 1.3299,              0.0006536,              0.0006536,              0.0006536
                     70,                0.95491,                0.70229,                 1.1009,                0.97599,                 0.8341,                0.92518,                0.60129,                 1.2383,                0.79926,                 1.3482,              0.0006338,              0.0006338,              0.0006338
                     71,                0.94905,                0.67198,                 1.0973,                0.95333,                0.84723,                0.92527,                0.60955,                 1.2458,                0.74155,                 1.3204,               0.000614,               0.000614,               0.000614
                     72,                 0.9568,                0.68364,                  1.102,                0.92395,                0.84793,                0.91782,                0.61107,                  1.236,                0.76555,                 1.3264,              0.0005942,              0.0005942,              0.0005942
                     73,                0.95396,                0.67759,                 1.0975,                0.97299,                0.82028,                0.92299,                0.61192,                 1.2215,                0.75094,                 1.3115,              0.0005744,              0.0005744,              0.0005744
                     74,                0.94785,                0.68926,                 1.0993,                0.92497,                0.85216,                0.91516,                0.60566,                 1.2636,                0.77969,                 1.3472,              0.0005546,              0.0005546,              0.0005546
                     75,                0.92416,                0.66765,                 1.0963,                 0.9007,                0.88018,                 0.9323,                 0.6172,                 1.2244,                0.76183,                 1.3152,              0.0005348,              0.0005348,              0.0005348
                     76,                0.91214,                 0.6551,                 1.0826,                0.95721,                 0.8341,                0.93203,                0.61155,                  1.228,                0.74574,                 1.3069,               0.000515,               0.000515,               0.000515
                     77,                0.91603,                0.64514,                 1.0789,                0.91501,                0.83871,                0.91839,                0.61317,                 1.1969,                0.76145,                 1.3052,              0.0004952,              0.0004952,              0.0004952
                     78,                0.91119,                0.63889,                 1.0815,                0.92854,                0.86636,                0.92148,                0.61199,                 1.2502,                0.76613,                 1.3358,              0.0004754,              0.0004754,              0.0004754
                     79,                0.90055,                0.63441,                 1.0714,                0.91319,                0.87097,                0.92596,                0.61066,                  1.201,                0.75998,                 1.2983,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89003,                0.64666,                 1.0708,                0.91137,                0.88018,                0.92271,                0.62303,                 1.2202,                0.76872,                 1.3116,              0.0004358,              0.0004358,              0.0004358
                     81,                0.89835,                0.64237,                  1.073,                0.94919,                0.86175,                0.92836,                 0.6144,                 1.2213,                0.75993,                 1.3197,               0.000416,               0.000416,               0.000416
                     82,                 0.9023,                0.62384,                 1.0812,                0.91682,                0.88018,                0.93366,                0.61385,                  1.239,                0.75253,                 1.3596,              0.0003962,              0.0003962,              0.0003962
                     83,                0.87454,                0.62804,                 1.0611,                0.95752,                0.84793,                0.92723,                 0.6146,                 1.1987,                0.73691,                   1.31,              0.0003764,              0.0003764,              0.0003764
                     84,                0.86531,                0.62007,                 1.0542,                0.94466,                0.86529,                0.93169,                 0.6226,                 1.1981,                0.74264,                 1.2916,              0.0003566,              0.0003566,              0.0003566
                     85,                0.86968,                0.60912,                 1.0531,                0.94018,                0.86909,                0.93344,                0.62856,                 1.1838,                0.70492,                 1.2948,              0.0003368,              0.0003368,              0.0003368
                     86,                0.86176,                0.62986,                 1.0528,                0.97393,                0.86088,                0.92791,                0.63132,                 1.1754,                0.71004,                 1.2856,               0.000317,               0.000317,               0.000317
                     87,                0.84568,                0.59722,                  1.044,                0.94908,                0.85901,                0.93249,                0.62127,                 1.1999,                0.70523,                 1.3211,              0.0002972,              0.0002972,              0.0002972
                     88,                0.85006,                0.60806,                 1.0485,                0.91614,                0.87097,                0.92778,                0.62419,                 1.1998,                0.70315,                 1.3293,              0.0002774,              0.0002774,              0.0002774
                     89,                0.83939,                 0.5975,                 1.0447,                0.94963,                 0.8688,                0.93033,                0.63037,                 1.1695,                0.70711,                 1.3097,              0.0002576,              0.0002576,              0.0002576
                     90,                0.85233,                0.60752,                 1.0438,                0.94832,                0.84554,                0.93566,                0.63813,                 1.1621,                0.69296,                 1.2924,              0.0002378,              0.0002378,              0.0002378
                     91,                0.73784,                 0.4607,                0.99511,                0.95236,                0.85714,                0.93874,                0.63452,                 1.1787,                0.68445,                 1.2905,               0.000218,               0.000218,               0.000218
                     92,                0.73431,                0.45614,                0.99383,                0.88945,                0.88985,                0.93104,                0.62538,                 1.2021,                0.69066,                  1.315,              0.0001982,              0.0001982,              0.0001982
                     93,                0.72982,                0.44635,                0.98725,                0.90193,                0.88997,                0.93551,                0.62981,                 1.1902,                0.69182,                 1.3038,              0.0001784,              0.0001784,              0.0001784
                     94,                0.71673,                0.45112,                0.98172,                0.92505,                0.89401,                0.93284,                0.62644,                  1.171,                0.67013,                  1.297,              0.0001586,              0.0001586,              0.0001586
                     95,                0.70699,                0.43521,                0.98022,                0.93555,                0.86965,                0.93341,                0.63072,                 1.1717,                0.66531,                  1.296,              0.0001388,              0.0001388,              0.0001388
                     96,                0.69303,                0.43336,                 0.9684,                0.89978,                0.91244,                0.94002,                0.63272,                  1.169,                0.66256,                 1.2952,               0.000119,               0.000119,               0.000119
                     97,                0.68984,                0.42536,                0.96491,                0.91626,                0.90767,                0.93971,                0.63537,                 1.1748,                0.65514,                 1.2991,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.68106,                0.41718,                0.96654,                0.92093,                0.91247,                0.94044,                0.62887,                 1.1722,                0.65091,                 1.2948,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.68507,                0.42536,                0.96866,                0.91158,                0.90271,                0.93999,                0.63232,                 1.1686,                0.65186,                  1.295,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.68208,                0.41527,                0.96425,                0.96883,                0.85954,                0.94082,                0.63353,                 1.1663,                0.65652,                  1.297,               3.98e-05,               3.98e-05,               3.98e-05
